Job Title,Company Name,Job Qualifications,URL,Type,Work Hours,Kota,Georeferenced,Longitude,Latitude
Ecommerce Data Analyst,Riwaya,"Analytical Skills, Data Analysis, Data Analytics, Data Modeling, Data Visualization, Databases, Extract, Transform, Load (ETL), Google Data Studio, Marketing Data Analysis, Problem Solving, SQL, and Statistics",https://www.linkedin.com/jobs/search/?currentJobId=4018561678&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=175,Remote,Contract,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
Software Engineer,Crossover,,https://www.linkedin.com/jobs/search/?currentJobId=4017077988&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=175,Remote,Full-Time,Malang,POINT (112.65 -7.98),112.65,-7.98
Data Science,,,https://www.linkedin.com/jobs/search/?currentJobId=4000477728&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=175,On-Site,Full-Time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Data Engineer,PT. Intikom Berlian Mustika,,https://www.linkedin.com/jobs/search/?currentJobId=4017110715&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=175,On-Site,Contract,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Sr. Data Analyst,ASTRO,,https://www.linkedin.com/jobs/search/?currentJobId=3934460567&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=200,Remote,Full-Time,Indonesia,POINT (117.343188 -0.878596),117.343188,-0.878596
Data Product Management   Sea Labs,Shopee,,https://www.linkedin.com/jobs/search/?currentJobId=3981849731&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=200,On-Site,Full-Time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Artificial Intelligence & Data  ID,Deloitte,,https://www.linkedin.com/jobs/search/?currentJobId=4017142618&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=200,On-Site,Full-Time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Data Analytics,Prakerja,,https://www.linkedin.com/jobs/search/?currentJobId=4004144821&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=200,On-Site,Full-Time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
Data Scientist / Analytics,Nikel,,https://www.linkedin.com/jobs/search/?currentJobId=3909546171&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=200,On-Site,Full-Time,Jakarta,POINT (106.84634081531794 -6.196639809431919),106.84634081531794,-6.196639809431919
District Data Associate for TB ICF/ACF,Management Sciences for Health,,https://www.linkedin.com/jobs/search/?currentJobId=3964079763&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=200,On-Site,Full-Time,Jawa Timur,POINT (113.807338 -7.828644),113.807338,-7.828644
AI,Dikshatek Indonesia,,https://www.linkedin.com/jobs/search/?currentJobId=3736943377&distance=25&geoId=102478259&keywords=Data%20Scientist&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true&start=200,On-Site,Full-Time,Surabaya,POINT (112.740515 -7.244582),112.740515,-7.244582
